id	Gene	Description	Tissue	Up/Dn	Fold Change (log2)	P value
361	SLC38A4	solute carrier family 38, member 4	Pancreas	-	3.11	0
362	SYTL1	synaptotagmin-like 1	Pancreas	-	3.11	0
363	VEPH1	ventricular zone expressed PH domain-containing 1	Pancreas	-	3.1	0
364	STXBP6	syntaxin binding protein 6 (amisyn)	Pancreas	-	3.09	0
365	TPM1	tropomyosin 1 (alpha)	Pancreas	-	3.09	0
366	PIFO	primary cilia formation	Pancreas	-	3.09	0
367	KLHDC10	kelch domain containing 10	Pancreas	-	3.08	0
368	SLC3A1	solute carrier family 3 (amino acid transporter heavy chain), member 1	Pancreas	-	3.08	0.034
369	DHRS12	dehydrogenase/reductase (SDR family) member 12	Pancreas	-	3.08	0
370	SLC37A4	solute carrier family 37 (glucose-6-phosphate transporter), member 4	Pancreas	-	3.07	0
371	ARRB1	arrestin, beta 1	Pancreas	-	3.07	0
372	APLP1	amyloid beta (A4) precursor-like protein 1	Pancreas	-	3.02	0
373	MUC15	mucin 15, cell surface associated	Pancreas	-	3.02	0
374	STC2	stanniocalcin 2	Pancreas	-	3.02	0
375	BEX5	brain expressed, X-linked 5	Pancreas	-	3.01	0.001
